codigo_depto;codigo_provincia;departamento;municipio;codigo;anno;pob_total;formal_rate;vacancy_rate;ruralidad;t_crea;altura;areakm2;gandina;gcaribe;gpacifica;gorinoquia;gamazonia;pruralpet;pmujerpet;pdependiente;salario_bas;pregimen_subsidiado;regimen_subsidiado;promleccri;prommatema;promglobal;vab;va_actividad_primaria;va_actividad_secundaria;va_actividad_terciaria;vabpc;pprimary;psecondary;pterciary;distancia_mercado;disbogota;dismdo;pgroup1;pgroup2;pgroup3;pgroup4;pgroup5;pgroup6;num_obser_freq;num_obser_freq_adj;informales_freq;informales_freq_adj;ocupados_freq;ocupados_freq_adj;informalidad;informalidad_adj;informalidad_adj_var;fharcsin_est;Low;Up;fh_benchmark;MERF_resultados;lisa_clusters;lisa_clusters_nombres
13;1351;Bolívar;Achí;13006;2016;23384;4.442852663;0.05131714;76.84741704;82;24.0;1025;0;1;0;0;0;82.36006575;37.5897569;92.85159833;695128.1667;85.24204584;19933.0;44.97160883;40.76340694;211.362776;196.3776863;51.30411072;26.23426849;118.8393071;0.8397951;26.12522415;13.35908829;60.51568756;132.0807343;466.6584473;220.1837158;17.12558216;35.6973609;16.74156385;17.747869;36.93135935;14.19470615;;;;;;;;;;87.05286122;85.46857451;88.4767283;67.3524345;86.38048276;1.0;HH
13;1351;Bolívar;Achí;13006;2021;26361;2.774932666;0.02655438;77.67156026;87;24.0;1025;0;1;0;0;0;83.28439124;36.74798584;90.58508318;1690775.167;78.15333257;20602.0;44.34275436;41.34275436;206.1201477;259.8356904;85.69693787;23.07269545;151.0660571;0.985682222;32.98120352;8.879725265;58.13907122;132.0807343;466.6584473;220.1837158;16.70483825;35.95047237;18.73031778;17.26531601;36.9037049;16.07070789;;;;;;;;;;89.86136155;88.27562732;91.280058;89.7242123;89.40079173;1.0;HH
13;1344;Bolívar;Altos del Rosario;13030;2011;9885;1.138088012;;61.55791603;17;33.0;304;0;1;0;0;0;67.72875817;40.40616246;109.7725657;1196337.625;93.70763784;9263.0;38.83928571;40.76785714;200.8571429;39.8140926;5.32492864;3.637639465;30.8515245;0.402772813;13.37448198;9.136562526;77.4889555;146.2786255;484.479187;204.9922791;19.27663734;32.41446725;12.74682307;18.59538784;32.34800839;11.46750524;;;;;;;;;;93.15456775;92.06177144;94.2325551;70.792188;93.47538092;1.0;HH
13;1344;Bolívar;Altos del Rosario;13030;2016;10572;1.298240636;0.047294741;62.98713583;22;33.0;304;0;1;0;0;0;69.31350838;39.90298429;103.2409658;1621566.75;86.18047673;9111.0;46.17894737;44.23157895;224.6842105;66.63440296;12.03460988;8.147402702;46.45239038;0.630291364;18.06065537;12.22702139;69.71232324;146.2786255;484.479187;204.9922791;19.18731778;33.54591837;13.44752187;18.88276947;32.96616837;12.54917388;;;;;;;;;;87.66860027;86.19063997;89.0502407;67.8288293;86.66478831;1.0;HH
13;1344;Bolívar;Altos del Rosario;13030;2021;11832;2.213629705;;64.6974307;27;33.0;304;0;1;0;0;0;71.34583563;39.16161059;99.21293646;1385724.708;80.45131846;9519.0;42.75675583;40.90540695;199.783783;93.7556012;22.93029238;8.077242014;62.7480668;0.792390139;24.4575173;8.61521009;66.92727261;146.2786255;484.479187;204.9922791;19.09710945;33.74472231;15.1672621;18.50546352;33.46845259;13.50017624;;;;;;;;;;89.61745633;87.97396668;91.0396946;89.4806793;;1.0;HH
13;1347;Bolívar;Arenal;13042;2011;7592;1.900026344;;48.80136986;15;50.0;459;0;1;0;0;0;57.29580912;41.11349036;101.1793502;1134901.958;92.87407798;7051.0;36.16666667;38.18421053;185.7894737;35.16629366;4.716942152;2.77390718;27.67544433;0.463201971;13.41324792;7.887971381;78.6987807;156.6888885;441.3095703;171.1280518;18.32118623;35.33551144;11.81201307;17.93523388;36.00885691;11.76307777;364.0;68596.0;132.0;23388.0;136.0;24246.0;97.05882353;96.46127196;0.040770159;96.24740209;94.16694092;97.9907983;73.1425667;94.97928396;0.0;
13;1347;Bolívar;Arenal;13042;2016;7361;2.493999909;0.095095775;41.86931123;20;50.0;459;0;1;0;0;0;50.37128713;42.63613861;94.29982047;1503298.375;91.10175248;6706.0;46.62962963;42.27160494;221.345679;67.85487491;20.42451148;8.188893272;39.24147016;0.921815988;30.1002861;12.06824607;57.83146784;156.6888885;441.3095703;171.1280518;18.46275753;34.25779186;15.02905441;17.87412587;36.33566434;14.85314685;381.0;858948.0;176.0;29776.0;192.0;32308.0;91.66666;92.16293;0.045126581;91.7807982;88.96999274;94.3417362;71.0104196;89.53188401;0.0;
13;1347;Bolívar;Arenal;13042;2021;7748;3.731070384;0.387196696;39.93288591;25;50.0;459;0;1;0;0;0;48.82601721;42.29254776;91.92111959;1293121.458;96.46360351;7474.0;45.5376358;41.78494644;210.6451569;84.57272843;30.3995466;6.050006834;48.123175;1.0915427;35.94485736;7.153614346;56.9015283;156.6888885;441.3095703;171.1280518;18.27043239;34.79130217;16.24593852;17.61409127;36.16226314;15.90605818;349.0;864742.0;147.0;506670.0;165.0;564046.0;89.09091;89.82778;0.06721777;90.00201418;86.64031212;92.954794;89.8646503;88.8694288;0.0;
13;1331;Bolívar;Arjona;13052;2011;63765;2.803131289;;19.3131028;241;62.0;566;0;1;0;0;0;24.55223029;48.36293113;80.16279183;578796.9167;67.94636556;43326.0;40.41540257;42.14352392;201.6406068;336.8353792;41.45650645;48.44839233;246.9304804;0.528244929;12.30764611;14.38340368;73.30895021;29.32360077;650.7518311;111.2541351;18.67466017;38.23736856;12.43908695;18.23289227;39.85509471;13.60022104;386.0;66610.0;135.0;21239.0;151.0;23746.0;89.40397351;89.44243241;0.076719507;89.03305988;86.10035491;91.7802056;67.6600758;85.77534403;0.0;
13;1331;Bolívar;Arjona;13052;2016;67351;3.098568197;0.173716797;20.29220056;246;62.0;566;0;1;0;0;0;25.84970977;48.01734387;75.36951396;728306.5833;75.79397485;51048.0;47.97131553;44.50840752;227.7329377;597.0194076;127.1173278;80.46960925;389.4324706;0.886429908;21.29199254;13.47855836;65.2294491;29.32360077;650.7518311;111.2541351;18.38027955;38.9678906;14.23850096;17.67238871;39.9796334;16.03724178;439.0;909439.0;140.0;20940.0;184.0;26975.0;76.08696;77.62743;0.122115004;77.77449274;73.87815324;81.5730965;60.1737997;78.48421079;0.0;
