codigo,anno,MERF_resultados_repro
63594,2011,78.82371232992867
66001,2011,60.472975275681904
66045,2011,86.44053189333594
66075,2011,80.95834415774132
66088,2011,90.1088691585941
66170,2011,55.00031337677738
66318,2011,85.29236950360891
66383,2011,85.18495929229361
66400,2011,70.04123094920924
66440,2011,88.30125309907137
66572,2011,80.74886022917877
66594,2011,89.18522167803823
66682,2011,76.03077514162413
68001,2011,59.95599838607163
68020,2011,95.28698018785606
68051,2011,88.58327204367723
68077,2011,81.04875698012387
68079,2011,81.61845782786942
68081,2011,64.28119213505808
68092,2011,85.99408296207099
68101,2011,91.94001476459465
68160,2011,92.97556223244446
68167,2011,90.01254479347966
68235,2011,91.07685432415678
68250,2011,83.01246839150993
68255,2011,87.69810477264276
68276,2011,57.72179631465534
68298,2011,95.90684506104218
68307,2011,63.03226747992225
68318,2011,96.7985218974524
68368,2011,90.65236779391553
68370,2011,94.1345474047537
68406,2011,74.53238244859998
68418,2011,80.59011504063047
68432,2011,84.13692425952901
68468,2011,96.16339922083104
68502,2011,92.23400525668026
68547,2011,66.11296248506937
68572,2011,84.14967065672708
68669,2011,81.59683180121024
68679,2011,76.7366113642433
68682,2011,86.79429429068978
68689,2011,87.3872257199539
68705,2011,90.43183568107551
68770,2011,82.63335772455791
68773,2011,90.23797933292425
70001,2011,77.12622308714032
70110,2011,90.47454765765494
70215,2011,82.17602063408333
70265,2011,94.3268194919789
70429,2011,93.01067107277586
70473,2011,94.1024501931291
70678,2011,91.30585414467393
70708,2011,89.47383957047701
70713,2011,89.77887570435676
70717,2011,91.42782768432227
70742,2011,90.96520485002776
73001,2011,65.69210873228435
73026,2011,84.93469000188999
73030,2011,80.29425658154622
73043,2011,92.35107160866056
73055,2011,80.54751868175421
73168,2011,88.13881872821342
73226,2011,87.6717888422887
73268,2011,78.05787013996061
73319,2011,89.09672105997466
73347,2011,84.67684371810009
73349,2011,75.37548468615196
73408,2011,83.84426891633892
73443,2011,82.84897012309446
73483,2011,86.47826546137196
73547,2011,85.25520422728175
73555,2011,92.7780006340588
73624,2011,90.38279932875838
73671,2011,84.14362764972267
73686,2011,85.472532580721
73861,2011,82.96793217400501
76001,2011,60.66787969116355
76036,2011,71.78047550684192
76054,2011,85.80421704917092
76109,2011,79.77056467077661
76111,2011,64.64403939375002
76113,2011,71.64347397358002
76122,2011,81.29299398800144
76130,2011,64.44805990574254
76147,2011,75.61223902434234
76233,2011,84.50035633969904
76243,2011,93.34483929309549
76248,2011,70.22448631033735
76275,2011,67.40883500244101
76364,2011,69.52562877876699
76497,2011,84.1308468733863
76520,2011,63.931460869185244
76563,2011,69.20056005169805
76622,2011,81.07896883298201
76736,2011,83.61083826708308
76834,2011,70.45237126034593
76863,2011,89.45931090969349
76892,2011,59.88867576154421
5001,2016,43.825795243332735
5002,2016,84.84200115100087
5031,2016,76.27684790666667
5034,2016,78.13047937566719
5045,2016,62.86915573766653
5079,2016,61.89005713400088
5088,2016,44.6740300636662
5093,2016,86.15705715666793
5120,2016,90.63795828166684
5129,2016,35.87158817766581
5142,2016,90.24125766033441
5154,2016,72.05732195330295
5172,2016,66.34309897033258
5212,2016,37.928435660333065
5266,2016,32.15397702733311
5282,2016,71.14192339500028
5308,2016,47.629399123000255
5318,2016,41.78714137199916
5360,2016,34.519337273666835
5361,2016,76.85280355866675
5380,2016,30.91395482199956
5411,2016,85.79888961566662
5425,2016,61.269557577665566
5440,2016,59.664563579000145
5467,2016,79.81797579466692
5480,2016,80.91932166833321
5579,2016,69.47521482363645
5591,2016,59.25270568633259
5604,2016,72.89462648933268
5607,2016,51.62755550833315
5615,2016,38.604977786333066
5631,2016,30.200324989999576
5647,2016,79.59448643966653
5679,2016,75.51491750099996
5790,2016,86.16979991633386
5809,2016,56.93138143133183
5837,2016,76.81587769233329
5847,2016,85.17086614166678
5887,2016,66.4078491359995
5893,2016,70.40092925866632
5895,2016,83.77614662966708
8001,2016,60.86343562333331
8078,2016,74.13887028100011
8421,2016,88.31437748266704
8433,2016,67.8994568276666
8558,2016,74.18552871566618
8573,2016,64.59809981500003
8634,2016,72.9945164616665
8638,2016,75.82070966599971
8758,2016,63.32738464499973
8849,2016,79.8126573130002
11001,2016,43.59457339166654
13001,2016,61.95280481199995
13042,2016,89.57232498533345
13052,2016,78.15784581233324
13160,2016,73.29558693433293
13212,2016,88.09129543700003
13244,2016,85.17847636600033
13430,2016,81.35796108600034
13433,2016,88.4196620153334
13442,2016,85.89631065899994
13473,2016,85.92130010300063
13600,2016,90.85472809600031
13670,2016,87.09742444700034
13688,2016,86.68392389833366
13836,2016,70.85182816433334
13838,2016,76.1580422063325
13873,2016,83.4696666443339
15001,2016,50.77726496463613
15087,2016,77.63584602233313
15090,2016,77.55970697933313
15092,2016,77.42990805099981
15162,2016,81.17447779633385
15176,2016,68.43077475530325
15204,2016,77.04173780799994
15238,2016,54.047988240666385
15244,2016,87.13429468300045
15272,2016,75.39999175533319
15332,2016,86.05026087333331
15455,2016,72.04654296666652
15494,2016,87.70469590500008
15500,2016,59.38212043066475
15511,2016,84.09001920833384
15516,2016,57.315533686332635
15531,2016,85.31360964066654
15537,2016,63.88515878533294
15572,2016,66.4764659553333
15599,2016,81.629091467
15600,2016,72.77055217033296
15759,2016,57.492861466666675
15763,2016,82.1486062443337
15790,2016,64.18245788399932
15806,2016,71.01546492666674
15808,2016,81.26050239533345
15814,2016,80.49380301766661
15832,2016,82.75459341666652
15837,2016,82.98427136100102
15861,2016,85.82786621700009
15897,2016,67.22384603033161
17001,2016,43.31732214999952
17013,2016,80.06656088866673
17042,2016,77.30720947166651
17174,2016,62.803857823999905
17272,2016,81.84840165699985
17380,2016,69.14037631363675
17433,2016,83.3068894303337
17513,2016,81.40494522599985
17541,2016,77.7270643063329
17614,2016,62.82521840566592
17616,2016,78.84948662399967
17665,2016,88.13028682700057
17777,2016,75.5283581133331
