codigo,anno,coca_ha
19418,2016,941.4
19450,2016,140.7
19455,2016,6.0
19473,2016,166.9
19532,2016,328.0
19533,2016,1458.5
19548,2016,0.0
19622,2016,0.0
19701,2016,0.0
19698,2016,0.0
19760,2016,0.0
19780,2016,170.5
19785,2016,18.7
19807,2016,0.0
19809,2016,1405.7
19821,2016,14.9
20178,2016,0.0
20310,2016,6.6
20517,2016,0.0
20710,2016,17.3
20770,2016,2.6
27006,2016,2.2
27025,2016,58.0
27050,2016,0.0
27075,2016,0.0
27077,2016,138.2
27099,2016,0.0
27150,2016,98.3
27205,2016,3.4
27135,2016,34.8
27250,2016,98.4
27361,2016,476.7
27372,2016,0.0
27413,2016,0.0
27425,2016,0.0
27430,2016,68.9
27450,2016,136.3
27491,2016,75.3
27495,2016,0.0
27001,2016,3.8
27580,2016,7.9
27600,2016,0.0
27615,2016,35.8
27660,2016,323.4
27745,2016,217.9
27787,2016,3.2
27800,2016,20.7
27810,2016,0.0
23350,2016,0.0
23466,2016,573.9
23580,2016,570.6
23682,2016,231.9
23807,2016,1290.1
23855,2016,1.8
25148,2016,0.0
25518,2016,0.0
25823,2016,0.0
25885,2016,0.0
94343,2016,2.3
94001,2016,0.0
94663,2016,3.5
94888,2016,15.9
94887,2016,0.0
94884,2016,0.0
95015,2016,542.3
95025,2016,2191.6
95200,2016,2297.2
95001,2016,1807.0
44090,2016,0.0
44001,2016,0.0
47053,2016,0.0
47189,2016,0.0
47288,2016,0.0
47001,2016,34.9
50350,2016,1635.2
50400,2016,0.0
50325,2016,338.4
50330,2016,104.2
50450,2016,63.9
50568,2016,0.0
50577,2016,27.4
50573,2016,0.0
50590,2016,1592.8
50683,2016,48.4
50689,2016,0.0
50370,2016,202.3
50711,2016,1451.3
52036,2016,24.3
52079,2016,3359.4
52110,2016,0.0
52207,2016,0.0
52210,2016,0.0
52215,2016,0.0
52227,2016,0.0
52233,2016,527.3
52250,2016,2819.9
52254,2016,51.2
52256,2016,573.9
52260,2016,97.6
52520,2016,157.4
52356,2016,1132.1
52381,2016,51.4
52385,2016,83.8
52390,2016,119.8
52405,2016,212.8
52411,2016,284.7
52418,2016,177.6
52427,2016,1273.2
52435,2016,0.0
52473,2016,239.9
52490,2016,2572.7
52540,2016,733.3
52573,2016,0.0
52612,2016,333.0
52621,2016,2404.3
52678,2016,1394.6
52693,2016,0.0
52683,2016,8.3
52696,2016,785.3
52699,2016,61.8
52835,2016,23148.0
54003,2016,24.0
54109,2016,0.0
54128,2016,15.4
54206,2016,890.6
54001,2016,281.0
54245,2016,664.3
54250,2016,3682.7
54261,2016,94.1
54344,2016,214.9
54385,2016,11.9
54398,2016,6.1
54418,2016,0.0
54498,2016,9.0
54670,2016,445.0
54720,2016,3847.4
54800,2016,1856.7
54810,2016,12787.4
86001,2016,111.2
86320,2016,2987.9
86568,2016,7453.4
86569,2016,1782.1
86571,2016,1584.8
86573,2016,1992.4
86757,2016,3128.4
86760,2016,5.3
86865,2016,4885.8
86885,2016,1231.1
68020,2016,0.0
68092,2016,0.0
68101,2016,14.6
68176,2016,0.0
68190,2016,0.0
68209,2016,0.0
68211,2016,0.0
68235,2016,4.9
68250,2016,0.0
68255,2016,0.0
68271,2016,0.0
68322,2016,0.0
68324,2016,0.0
68377,2016,0.0
68397,2016,0.0
68385,2016,0.0
68524,2016,0.0
68573,2016,0.0
68615,2016,2.2
68655,2016,0.0
68689,2016,0.0
68720,2016,10.8
68745,2016,4.7
68755,2016,0.0
68773,2016,0.0
68861,2016,0.0
76100,2016,31.2
76109,2016,680.5
76001,2016,0.0
76126,2016,33.6
76233,2016,3.0
76364,2016,3.6
76834,2016,0.0
97161,2016,96.7
97001,2016,0.0
97511,2016,0.0
97777,2016,0.0
97666,2016,0.0
97889,2016,0.0
99773,2016,699.2
99524,2016,0.0
99624,2016,0.0
91263,2021,0.0
91405,2021,0.0
91407,2021,0.0
91430,2021,0.0
91460,2021,0.0
91530,2021,72.8
91536,2021,0.0
91669,2021,0.0
5031,2021,475.4
5040,2021,1737.4
5045,2021,1.9
5055,2021,0.0
5107,2021,363.1
5120,2021,1869.6
5134,2021,326.1
5142,2021,0.0
5147,2021,0.0
5148,2021,0.0
5154,2021,3.3
5172,2021,12.2
5197,2021,0.0
5234,2021,0.0
5250,2021,1152.8
5284,2021,0.0
5310,2021,0.0
5361,2021,1414.2
5425,2021,0.0
5475,2021,46.1
5480,2021,6.0
5483,2021,0.0
5495,2021,365.5
5490,2021,0.0
5579,2021,0.0
5585,2021,0.0
5591,2021,0.0
5604,2021,129.4
5628,2021,0.0
5649,2021,1.2
5652,2021,30.6
5660,2021,9.1
5665,2021,0.0
5667,2021,0.0
5670,2021,0.0
5686,2021,0.0
5736,2021,226.9
5756,2021,2.6
5790,2021,3531.3
5819,2021,0.0
5837,2021,43.0
5842,2021,0.0
5847,2021,0.0
5854,2021,4105.4
5858,2021,108.6
5873,2021,0.0
5885,2021,77.7
5887,2021,113.8
5890,2021,9.9
5893,2021,10.7
5895,2021,807.2
81065,2021,0.0
81300,2021,0.0
81591,2021,0.0
81736,2021,0.0
81794,2021,0.0
13006,2021,4.9
13030,2021,0.0
13042,2021,104.6
13074,2021,0.0
13160,2021,1258.5
13268,2021,0.0
13458,2021,688.0
13473,2021,318.3
13490,2021,82.7
13600,2021,100.2
13655,2021,169.0
13667,2021,2.5
13670,2021,3972.8
54820,2021,0.0
13688,2021,2515.2
13744,2021,2011.1
13810,2021,286.7
15212,2021,0.0
15223,2021,0.0
15401,2021,0.0
15442,2021,0.0
15480,2021,0.0
15507,2021,0.0
15531,2021,0.0
15572,2021,18.0
15580,2021,0.0
15681,2021,0.0
15696,2021,0.0
15832,2021,0.0
17433,2021,0.0
17495,2021,0.0
17541,2021,0.0
17662,2021,0.0
17867,2021,0.0
18029,2021,58.2
18094,2021,13.3
18150,2021,304.4
18205,2021,257.2
18247,2021,50.0
18256,2021,157.0
18001,2021,41.8
18460,2021,283.5
18410,2021,694.8
18479,2021,0.0
18592,2021,44.8
18610,2021,781.9
